cluster_id,cluster_leader,canonical_name,name,frequency,score_to_leader,cluster_size,canonical_frequency,all_variants
391,American Society for Biochemistry and Molecular Biology,American Society for Biochemistry and Molecular Biology,American Society for Biochemistry and Molecular Biology,6,100.0,3,6,"American Society for Biochemistry and Molecular Biology, American Society for Biochemistry and Molecular Biology (ASBMB), American Society for Biochemistry and Molecular Biology, Inc."
391,American Society for Biochemistry and Molecular Biology,American Society for Biochemistry and Molecular Biology,"American Society for Biochemistry and Molecular Biology, Inc.",1,100.0,3,6,"American Society for Biochemistry and Molecular Biology, American Society for Biochemistry and Molecular Biology (ASBMB), American Society for Biochemistry and Molecular Biology, Inc."
391,American Society for Biochemistry and Molecular Biology,American Society for Biochemistry and Molecular Biology,American Society for Biochemistry and Molecular Biology (ASBMB),2,90.9090909090909,3,6,"American Society for Biochemistry and Molecular Biology, American Society for Biochemistry and Molecular Biology (ASBMB), American Society for Biochemistry and Molecular Biology, Inc."
392,Universal Wiser Publisher,Universal Wiser Publisher,Universal Wiser Publisher,1,100.0,1,1,Universal Wiser Publisher
393,Anthropos,Anthropos,Anthropos,1,100.0,1,1,Anthropos
394,British Herpetological Society,British Herpetological Society,British Herpetological Society,1,100.0,2,1,"British Herpetological Society, The British Herpetological Society"
394,British Herpetological Society,British Herpetological Society,The British Herpetological Society,1,100.0,2,1,"British Herpetological Society, The British Herpetological Society"
395,EAZA (European Association of Zoos and Aquaria),EAZA (European Association of Zoos and Aquaria),EAZA (European Association of Zoos and Aquaria),2,100.0,1,2,EAZA (European Association of Zoos and Aquaria)
396,Libertas Academica,Libertas Academica,Libertas Academica,1,100.0,1,1,Libertas Academica
397,Staffordshire University,Staffordshire University,Staffordshire University,5,100.0,1,5,Staffordshire University
398,ICOMOS-UK,ICOMOS-UK,ICOMOS-UK,1,100.0,1,1,ICOMOS-UK
399,American Society of Interventional Pain Physicians,American Society of Interventional Pain Physicians,American Society of Interventional Pain Physicians,2,100.0,1,2,American Society of Interventional Pain Physicians
400,"Udmurt State University, Russia.","Udmurt State University, Russia.","Udmurt State University, Russia.",1,100.0,1,1,"Udmurt State University, Russia."
401,University of Wales,University of Wales Press,University of Wales Press,4,100.0,2,4,"University of Wales, University of Wales Press"
401,University of Wales,University of Wales Press,University of Wales,1,100.0,2,4,"University of Wales, University of Wales Press"
402,American Association for the Advancement of Science,American Association for the Advancement of Science (AAAS),American Association for the Advancement of Science,4,100.0,2,10,"American Association for the Advancement of Science, American Association for the Advancement of Science (AAAS)"
402,American Association for the Advancement of Science,American Association for the Advancement of Science (AAAS),American Association for the Advancement of Science (AAAS),10,88.37209302325581,2,10,"American Association for the Advancement of Science, American Association for the Advancement of Science (AAAS)"
